ID,Type,Rank,RanktoInt,Atk,Name,Description,Area,PrefabAddress
WEAPON_001,단검,일반,0,10,"낡은 단검","어디서나 볼 수 있는 평범한 단검. 호신용으로나 쓸만하다.","0.8;1.5",OldDagger
WEAPON_018,둔기,일반,0,16,"순례자의 호신용 망치","성지로 향하는 순례자들이 강도로부터 몸을 지키기 위해 들고 다니는 작은 망치.","1.2;1.8",PilgrimsHammer
WEAPON_019,둔기,일반,0,14,"수련 성직자의 기도봉","[세라핀 전용] 세라핀이 루미나 탑에서 처음 기도를 배울 때 사용하던 작고 가벼운 기도봉.","1.0;1.7",AcolytesPrayerRod
WEAPON_020,둔기,일반,0,20,"꿰매어진 피조물의 뼈몽둥이","(몬스터) 잿빛 숲의 꿰매어진 피조물이 휘두르던 뼈 몽둥이. 여러 동물의 뼈를 조잡하게 엮어 만들었다.","1.4;1.9",StitchedCreaturesBoneClub
WEAPON_021,둔기,고급,1,25,"알케미아 도시 경비대의 철퇴","알케미아의 치안을 담당하는 도시 경비대의 제식 무기. 위압적인 외형을 가졌다.","1.3;2.0",AlchemiaGuardMace
WEAPON_022,둔기,고급,1,28,"루미나 탑의 은빛 메이스","[세라핀 전용] 루미나 탑의 성직자들이 사용하는 은으로 만든 메이스. 언데드에게 추가 피해를 준다.","1.4;2.0",LuminaTowerSilverMace
WEAPON_023,둔기,고급,1,32,"오우거의 뼈 철퇴","(몬스터) 거대한 오우거의 뼈로 만든 철퇴. 육중한 무게로 모든 것을 부순다.","1.5;2.2",OgresBoneMace
WEAPON_024,둔기,희귀,2,40,"정화의 성물함","[세라핀 전용] 내부에 신성한 유골 가루가 담겨있는 성물함. 타격 시 주변 아군의 체력을 소량 회복시킨다.","1.5;2.1",ReliquaryOfPurification
WEAPON_025,둔기,희귀,2,48,"바위 거인의 파편 둔기","(몬스터) 바위 거인의 몸에서 떨어져 나온 파편으로 만든 둔기. 적중 시 높은 확률로 적을 기절시킨다.","1.6;2.3",RockGolemFragmentClub
WEAPON_026,둔기,영웅,3,55,"'고요한 안식'","(몬스터) 루미나 탑 지하 묘소의 고대 수호령을 잠재우고 얻은 성스러운 망치. 언데드에게 절대적인 추가 피해를 입힌다.","1.8;2.5",SilentRest
WEAPON_027,둔기,영웅,3,52,"'성녀의 자비'","[세라핀 전용] 루미나 탑의 성물. 타격한 아군의 모든 디버프를 정화하고 적에게는 신성한 충격을 가한다.","1.6;2.2",SaintsMercy
WEAPON_028,팔찌,일반,0,5,"초보 연금술사의 팔찌","[엘라라 전용] 엘라라가 처음으로 조합에 성공한 기념으로 만든 가장 기본적인 연금술 촉매 팔찌.","1.5;0",NoviceAlchemistBracelet
WEAPON_029,팔찌,고급,1,12,"그라운드 서클의 연성 팔찌","[엘라라 전용] 알케미아의 급진적 연금술사 조직 '그라운드 서클'의 구성원임을 나타내는 증표. 폭발물의 위력을 소폭 증가시킨다.","2.0;0",GroundCircleTransmutationBracelet
WEAPON_030,팔찌,희귀,2,20,"볼테르의 잊혀진 손목 보호대","[엘라라 전용] 모든 비극의 시작 연금술사 볼테르의 것이라고 전해지는 유물. 모든 독의 효과와 지속시간을 증폭시킨다.","2.5;0",VoltairesForgottenBracer
WEAPON_031,팔찌,영웅,3,30,"'현자의 손길'","[엘라라 전용] 전설적인 연금술사가 만들었다는 궁극의 아티팩트. 모든 포션의 효과를 극대화하고 조합 시 일정 확률로 재료를 소모하지 않는다.","3.0;0",SagesTouch
WEAPON_032,활,일반,0,12,"사냥용 활","숲에서 짐승을 사냥할 때 사용하는 평범한 나무 활. 가볍고 실용적이다.","0.2;0.2",HuntingBow
WEAPON_033,활,고급,1,22,"제국 정찰대의 경기궁","제국군 정찰병이 사용하는 가벼운 활. 빠른 연사에 특화되어 있다.","0.2;0.2",ImperialScoutBow
WEAPON_034,활,고급,1,25,"제국군 보급용 장궁","제국군 궁병에게 보급되는 장궁. 사거리가 길지만 사용하려면 숙련이 필요하다.","0.2;0.2",ImperialLongbow
WEAPON_035,활,희귀,2,35,"잿빛 숲의 가시나무 활","잿빛 숲의 뒤틀린 나무로 만든 활. 화살에 닿은 대상에게 확률적으로 '타락' 디버프를 건다.","0.3;0.3",AshwoodThornBow
WEAPON_036,활,희귀,2,40,"'용 사냥꾼의 대궁'","과거 드래곤스파인에서 용을 사냥했던 전설적인 사냥꾼의 활. 거대한 적에게 추가 피해를 입힌다.","0.3;0.3",DragonSlayerGreatbow
WEAPON_037,활,영웅,3,50,"'매의 눈'","바람의 흐름을 읽을 수 있다는 신비한 깃털로 장식된 활. 절대 빗나가지 않는다고 알려져 있다.","0.4;0.4",Hawkeye
WEAPON_038,검,일반,0,15,"수습기사의 검","기사 서임식 때 받는 기본적인 롱소드. 제국의 문장이 희미하게 새겨져 있다.","1.0;2.0",SquireSword
WEAPON_039,검,일반,0,16,"온두리스 가문의 훈련용 검","[리온 전용] 리온이 어릴 적부터 사용해온 훈련용 검. 손때가 묻어있다.","1.0;1.9",OndurisTrainingSword
WEAPON_040,검,일반,0,18,"스텔라문드 수비대의 롱소드","북방의 추위와 언데드를 상대로 싸우는 스텔라문드 수비대의 제식 검. 실용적이고 튼튼하다.","1.1;2.1",StellamundGuardLongsword
WEAPON_041,검,고급,1,25,"포르투나 용병의 시미터","포르투나의 용병들이 선호하는 구부러진 검. 베기 공격에 특화되어 있다.","1.2;2.2",FortunaMercenaryScimitar
WEAPON_042,검,고급,1,28,"용기사 생도의 서약 검","[리온 전용] 리온이 용기사 생도가 되며 받은 검. 가문의 맹세가 새겨져 있다.","1.2;2.3",DragonKnightCadetSword
WEAPON_043,검,고급,1,26,"해적 선장의 커틀러스","포르투나 항구를 공포에 떨게 했던 어느 해적 선장의 검. 손잡이에 이국적인 보석이 박혀있다.","1.3;2.1",PirateCaptainsCutlass
WEAPON_044,검,고급,1,28,"'정화의 불꽃'","정화단이 언데드와 이단자를 심판할 때 사용하는 검. 태양신의 축복으로 약한 화염 피해를 추가로 입힌다.","1.2;2.4",FlameOfPurification
WEAPON_045,검,희귀,2,42,"'온두리스의 유산'","[리온 전용] 온두리스 가문의 적자에게만 전해지는 보검. 강력한 용의 기운이 깃들어 있다.","1.4;2.5",LegacyOfOnduris
WEAPON_046,검,희귀,2,38,"바벤베르크 가문의 레이피어","온건파 용기사 가문 바벤베르크의 기사들이 선호하는 검. 빠르고 정확한 찌르기에 특화되어 있다.","1.3;2.8",BabenbergRapier
WEAPON_047,검,영웅,3,62,"'온두리스의 긍지'","[리온 전용] 용기사 온두리스 가문에 대대로 전해져 내려오는 보검. 사용자의 용기에 반응하여 칼날이 빛을 발한다.","1.5;2.8",PrideOfOnduris
WEAPON_048,검,영웅,3,60,"'솔라리움의 첫 번째 빛'","솔라리움 제국의 첫 황제가 사용했다고 전해지는 전설의 검. 실제로 태양신의 권능을 비추는 검으로 죽음의 저주를 상대로 진정한 힘을 보여준다.","1.5;3.0",SolariumsFirstLight
WEAPON_049,석궁,일반,0,18,"민병대의 조잡한 석궁","마을을 지키는 민병대가 급조한 석궁. 위력은 약하지만 없는 것보단 낫다.","0.3;0.3",MilitiaCrossbow
WEAPON_050,석궁,고급,1,28,"상인 호위대의 경석궁","먼 길을 떠나는 상단을 호위하는 용병들이 사용하는 석궁. 휴대성과 위력의 균형을 맞췄다.","0.3;0.3",MerchantGuardCrossbow
WEAPON_051,석궁,고급,1,32,"드워프제 자동 장전 석궁","드워프의 기술력으로 만들어진 석궁. 재장전 시간을 단축시키는 기계 장치가 달려있다.","0.4;0.4",DwarvenAutoCrossbow
WEAPON_052,석궁,희귀,2,38,"'그림자 추적자'","은밀하게 목표를 추적하는 암살자들이 사용하는 석궁. 소음이 거의 없고 치명타 확률이 높다.","0.4;0.4",ShadowStalker
WEAPON_053,석궁,희귀,2,42,"정화단의 중형 석궁","정화단 정예병이 사용하는 강력한 석궁. 갑옷을 꿰뚫을 만큼 위력적이지만 재장전 속도가 매우 느리다.","0.5;0.5",PurifierHeavyCrossbow
WEAPON_054,석궁,영웅,3,55,"'태양신의 심판'","태양신교의 광신도들이 이단자를 처단하기 위해 만든 성물 석궁. 발사된 볼트는 신성한 빛에 휩싸여 폭발한다.","0.5;0.5",JudgmentOfSol
WEAPON_055,스태프,일반,0,10,"수련용 스태프","마법을 처음 배우는 학생들이 사용하는 평범한 나무 지팡이. 마나를 증폭하는 효과는 거의 없다.","1.0;1.5",TrainingStaff
WEAPON_056,스태프,고급,1,25,"신성한 유적의 수호자 지팡이","루미나 탑 주변의 유적을 지키는 존재들이 사용하던 지팡이. 신성 마법의 위력을 증폭시킨다.","1.1;1.6",GuardianOfRuinsStaff
WEAPON_057,스태프,고급,1,28,"타락한 마법사의 지팡이","(몬스터) 저주에 잠식된 마법사가 사용하던 지팡이. 강력한 암흑 마법을 구사할 수 있지만 사용자의 생명력을 조금씩 갉아먹는다.","1.1;1.6",CorruptedMageStaff
WEAPON_058,스태프,희귀,2,35,"마력 흡수 지팡이","적을 타격할 때마다 마나를 흡수하는 기묘한 흑단목 지팡이. 마법사들 사이에서 암암리에 거래된다.","1.2;1.7",ManaSiphonStaff
WEAPON_059,스태프,희귀,2,38,"리치의 해골 지팡이","(몬스터) 끝없는 반도의 리치 로드가 사용하던 지팡이. 죽은 자를 일으키는 불길한 힘이 깃들어 있다.","1.2;1.7",LichSkullStaff
WEAPON_060,스태프,영웅,3,50,"'세계수의 가지'","세상의 시작과 함께했다는 거대한 나무의 가지로 만들었다는 지팡이. 모든 자연 계열 마법의 위력을 극대화한다.","1.4;2.0",WorldTreeBranch
WEAPON_061,창,일반,0,15,"민병대의 나무 창","끝을 뾰족하게 깎은 나무 창. 만들기 쉽지만 내구도는 약하다.","0.5;3.0",MilitiaWoodenSpear
WEAPON_062,창,고급,1,28,"제국 보병의 강철 창","제국군 보병의 표준 장비. 방패 진형 뒤에서 적을 찌르기에 용이하다.","0.5;3.5",ImperialInfantrySpear
WEAPON_063,창,희귀,2,45,"와이번 기수의 랜스","드래곤스파인의 와이번 기수들이 사용하는 랜스. 돌격 시 파괴적인 위력을 발휘한다.","0.6;4.0",WyvernRiderLance
WEAPON_064,창,영웅,3,58,"'꿰뚫는 별빛'","하늘에서 떨어진 운석으로 만들었다는 전설의 창. 어떤 방패나 갑옷도 꿰뚫는다고 한다.","0.7;4.5",PiercingStarlight
