ID,Category,MaxCount,NameKey,DescKey
MATERIAL_025,일반,999,MATERIAL_NAME_025,MATERIAL_DESC_025
MATERIAL_026,일반,999,MATERIAL_NAME_026,MATERIAL_DESC_026
MATERIAL_027,일반,999,MATERIAL_NAME_027,MATERIAL_DESC_027
MATERIAL_028,일반,999,MATERIAL_NAME_028,MATERIAL_DESC_028
MATERIAL_029,일반,999,MATERIAL_NAME_029,MATERIAL_DESC_029
MATERIAL_030,일반,999,MATERIAL_NAME_030,MATERIAL_DESC_030
MATERIAL_031,일반,999,MATERIAL_NAME_031,MATERIAL_DESC_031
MATERIAL_032,일반,999,MATERIAL_NAME_032,MATERIAL_DESC_032
MATERIAL_033,퀘스트,999,MATERIAL_NAME_033,MATERIAL_DESC_033
MATERIAL_034,일반,999,MATERIAL_NAME_034,MATERIAL_DESC_034
MATERIAL_035,퀘스트,999,MATERIAL_NAME_035,MATERIAL_DESC_035
MATERIAL_036,퀘스트,999,MATERIAL_NAME_036,MATERIAL_DESC_036
MATERIAL_037,일반,999,MATERIAL_NAME_037,MATERIAL_DESC_037
MATERIAL_038,일반,999,MATERIAL_NAME_038,MATERIAL_DESC_038
MATERIAL_039,퀘스트,999,MATERIAL_NAME_039,MATERIAL_DESC_039
MATERIAL_040,일반,999,MATERIAL_NAME_040,MATERIAL_DESC_040
MATERIAL_041,일반,999,MATERIAL_NAME_041,MATERIAL_DESC_041
MATERIAL_042,퀘스트,999,MATERIAL_NAME_042,MATERIAL_DESC_042
MATERIAL_043,퀘스트,999,MATERIAL_NAME_043,MATERIAL_DESC_043
MATERIAL_044,일반,999,MATERIAL_NAME_044,MATERIAL_DESC_044
MATERIAL_045,퀘스트,999,MATERIAL_NAME_045,MATERIAL_DESC_045
MATERIAL_046,일반,999,MATERIAL_NAME_046,MATERIAL_DESC_046
MATERIAL_047,일반,999,MATERIAL_NAME_047,MATERIAL_DESC_047
MATERIAL_048,일반,999,MATERIAL_NAME_048,MATERIAL_DESC_048
MATERIAL_049,퀘스트,999,MATERIAL_NAME_049,MATERIAL_DESC_049
MATERIAL_050,퀘스트,999,MATERIAL_NAME_050,MATERIAL_DESC_050
MATERIAL_051,핵심,999,MATERIAL_NAME_051,MATERIAL_DESC_051
MATERIAL_052,핵심,999,MATERIAL_NAME_052,MATERIAL_DESC_052
MATERIAL_053,일반,999,MATERIAL_NAME_053,MATERIAL_DESC_053
MATERIAL_054,핵심,999,MATERIAL_NAME_054,MATERIAL_DESC_054
MATERIAL_055,일반,999,MATERIAL_NAME_055,MATERIAL_DESC_055
MATERIAL_056,핵심,999,MATERIAL_NAME_056,MATERIAL_DESC_056
MATERIAL_057,핵심,999,MATERIAL_NAME_057,MATERIAL_DESC_057
MATERIAL_058,퀘스트,999,MATERIAL_NAME_058,MATERIAL_DESC_058
MATERIAL_059,퀘스트,999,MATERIAL_NAME_059,MATERIAL_DESC_059
MATERIAL_060,일반,999,MATERIAL_NAME_060,MATERIAL_DESC_060
MATERIAL_061,일반,999,MATERIAL_NAME_061,MATERIAL_DESC_061
MATERIAL_062,일반,999,MATERIAL_NAME_062,MATERIAL_DESC_062
MATERIAL_063,일반,999,MATERIAL_NAME_063,MATERIAL_DESC_063
MATERIAL_064,일반,999,MATERIAL_NAME_064,MATERIAL_DESC_064
MATERIAL_065,일반,999,MATERIAL_NAME_065,MATERIAL_DESC_065
MATERIAL_066,일반,999,MATERIAL_NAME_066,MATERIAL_DESC_066
MATERIAL_067,일반,999,MATERIAL_NAME_067,MATERIAL_DESC_067
MATERIAL_068,퀘스트,999,MATERIAL_NAME_068,MATERIAL_DESC_068
MATERIAL_069,퀘스트,999,MATERIAL_NAME_069,MATERIAL_DESC_069
MATERIAL_070,일반,999,MATERIAL_NAME_070,MATERIAL_DESC_070
MATERIAL_071,일반,999,MATERIAL_NAME_071,MATERIAL_DESC_071
MATERIAL_072,핵심,999,MATERIAL_NAME_072,MATERIAL_DESC_072
MATERIAL_073,일반,999,MATERIAL_NAME_073,MATERIAL_DESC_073
MATERIAL_074,일반,999,MATERIAL_NAME_074,MATERIAL_DESC_074
MATERIAL_075,일반,999,MATERIAL_NAME_075,MATERIAL_DESC_075
MATERIAL_076,일반,999,MATERIAL_NAME_076,MATERIAL_DESC_076
MATERIAL_077,일반,999,MATERIAL_NAME_077,MATERIAL_DESC_077
MATERIAL_078,일반,999,MATERIAL_NAME_078,MATERIAL_DESC_078
MATERIAL_079,일반,999,MATERIAL_NAME_079,MATERIAL_DESC_079
MATERIAL_080,퀘스트,999,MATERIAL_NAME_080,MATERIAL_DESC_080
MATERIAL_081,퀘스트,999,MATERIAL_NAME_081,MATERIAL_DESC_081
MATERIAL_082,퀘스트,999,MATERIAL_NAME_082,MATERIAL_DESC_082
